Taxon,bio1,bio12,bio14,bio15,bio18,bio2,bio21,bio4,bio8,bio9,ave_petal_lgth,ave_petal_wth,petal_size,ave_mas_lgth,ave_mas_wth,mas_size,Showiness,Floral_structure,Habitat_type,Life_history,Average_NPP,showiness_res
MENHUA,16.20806328,221.4011175,32.01590588,5.694342934,61.77923545,15.23998946,996.426391,882.8601128,24.40881177,19.70803086,14.81,2.98,44.1338,13.9,1.47,20.433,901.0779473,Staminode,Non_gypsum,Perennial,0.128202054,-0.345782265
MENHUMGUA,15.20741851,356.7389297,74.74024892,7.983571252,162.4944855,15.97461145,1403.242876,764.9810251,23.54476446,9.172114601,13.85,2.33,32.2705,11.76,1.36,15.9936,516.2234948,Staminode,Gypsum,Perennial,0.162187143,-0.513812299
MENHUMHUM,15.69231791,342.7341375,70.21574875,8.169723705,150.8363288,17.31517261,1205.600019,791.1680347,24.3520059,8.491124167,15.75,2.28,35.91,14.61,1.45,21.1845,760.2278354,Staminode,Gypsum,Perennial,0.142031712,-0.282192749
MENINT,15.20892467,255.9798302,35.60711752,6.949358277,59.53786671,16.37633071,1086.193518,856.420517,11.12022545,18.15973618,12.1,3.83,46.343,10.83,2.69,29.1327,1351.494575,Staminode,Non_gypsum,Non_perennial,0.140777043,-0.02144178
MENINY,9.984869038,170.2875475,23.38138208,7.965991489,35.75618894,17.64469983,1634.256144,789.6776216,4.883256574,15.80104229,13.62,2.97,40.4514,10.83,0.68,7.3644,299.3264608,Stamen,Non_gypsum,Non_perennial,0.10345925,-1.118487625
MENLAC,5.994435835,422.2587905,60.54090661,18.47291896,132.7533708,17.54100101,2324.002608,857.9684642,14.09436175,2.545224115,17.92,5.23,93.7216,16.35,4.02,65.727,6155.502092,Staminode,Non_gypsum,Non_perennial,0.313561486,0.657062497
MENLAELAE,9.570298452,404.3918147,65.88669412,9.877280901,52.4068962,14.88119559,790.9660915,741.408318,5.381759828,12.50690169,54.78,13.18,722.0004,44.46,1.62,72.0252,51833.62084,Stamen,Non_gypsum,Non_perennial,0.359052452,-1.487111375
MENLAEPAR,9.252675349,342.0852221,53.37771587,13.1268241,56.48532268,12.42658283,408.6989464,829.8501151,1.484305261,16.15587167,30.18,7.16,216.0888,23.89,0.94,22.4566,4867.560472,Stamen,Non_gypsum,Non_perennial,0.378493636,-0.85601934
MENLAG,7.406191775,307.8393967,37.33435966,16.49831293,83.88477401,16.35679596,2073.462259,865.7186428,14.1582639,3.706294763,11.23,3.99,44.8077,9.66,3.01,29.0766,1301.27883,Staminode,Non_gypsum,Non_perennial,0.187855441,-0.016923795
MENLEU,17.58005999,105.9694949,17,2,23.65939346,17.58744796,679.076342,847.4591459,9.632899211,21.31602836,10.91,3.59,39.1669,8.37,1.88,15.7356,616.9846929,Stamen,Gypsum,Perennial,0.040345,-0.551490084
MENLIB,9.214144847,278.1269773,31.28964657,16.29803978,77.44604517,14.72352371,1956.85904,962.2727014,18.42507776,-1.488618696,10.08,3.93,39.6144,6.84,3.4,23.256,919.3985809,Stamen,Non_gypsum,Perennial,0.147945484,-0.210769982
MENLONCHI,16.91079459,345.9982015,73.95932024,5.969113881,167.4279345,16.96057869,1371.551518,644.1312022,23.65677618,13.55421252,13.98,4.02,56.1996,13.19,3,39.57,2227.800671,Staminode,Non_gypsum,Non_perennial,0.209945254,0.25338896
MENLONLON,19.91793425,166.7047747,33.58981333,2.752060907,56.81899896,16.84279939,314.4042677,774.6936209,24.45514259,21.47805364,15.66,5.61,87.8526,13.48,3.86,52.0328,4569.433118,Staminode,Non_gypsum,Non_perennial,0.139143514,0.409597675
MENLONPIN,21.88819675,161.4305757,32.81367178,1.063131097,67.52263846,17.04933044,266.9213838,688.6319785,28.6727999,24.1338686,13.09,5.62,73.5658,11.61,4.92,57.1212,4204.51315,Staminode,Non_gypsum,Non_perennial,0.068160932,0.589681309
MENLONYAV,14.65169689,353.8521468,55.70927428,7.244841607,111.0052762,16.5094434,1273.811522,781.8584412,22.44531995,17.61676355,15.51,5.25,81.4275,12.77,3.49,44.5673,3623.559571,Staminode,Non_gypsum,Non_perennial,0.191101975,0.267039544
MENMAR,9.387023899,317.0030331,34.46979697,18.55845501,77.22255627,16.75781383,1702.496365,942.3958725,15.76514417,-0.553533687,11.24,3.07,34.5068,8.53,2.31,19.7043,678.2126602,Stamen,Gypsum,Non_perennial,0.258105714,-0.341974734
MENMEM,13.55293993,347.1370274,42.97418478,9.885464999,79.79846194,17.19860162,1455.849515,852.8745497,5.190778427,16.68245339,9.3,3.14,29.202,7.03,2.1,14.763,432.5671054,Stamen,Gypsum,Perennial,0.124925862,-0.569404556
MENMEX,20.02595245,295.2449336,52.8333451,6.148390393,127.663291,16.32640841,966.9145152,594.4533523,25.97999249,14.95318596,12.56,3.48,43.7088,11.99,2.78,33.3322,1455.92508,Staminode,Non_gypsum,Non_perennial,0.176100772,0.126879998
MENMUL,4.406011987,337.3872087,37.83911244,18.95092513,104.4769834,17.56333591,2299.257512,925.6023804,15.07705263,-3.573702847,14.04,7.3,102.492,8.34,2.73,22.7682,2328.768832,Stamen,Non_gypsum,Perennial,0.2447395,-0.465676099
MENMUL2,9.214395292,347.1470711,63.99875643,12.54485077,147.8962795,16.87970596,1988.192899,818.7106306,18.63506376,1.102054482,17.77,5.76,102.3552,16.01,3.58,57.3158,5863.564155,Staminode,Non_gypsum,Non_perennial,0.266400629,0.450407005
MENNUD,12.34506253,476.9340642,79.25099589,12.52907602,184.1889877,15.58733094,849.0384362,904.2135526,20.83986046,1.466400511,31.89,7.28,232.1592,30.7,6.12,187.884,43612.05389,Staminode,Non_gypsum,Non_perennial,0.278045728,1.28388244
MENORE,14.73399761,174.3406971,26.20882897,4.725331801,38.13069285,15.84722955,1171.209885,817.7267972,7.078497529,18.38638918,10.65,3.8,40.47,8.24,2,16.48,665.3199277,Stamen,Non_gypsum,Perennial,0.088720291,-0.517674082
MENPAR,10.26723558,327.0311344,38.43317372,12.91426025,83.38687344,16.59637237,1749.519442,918.8772315,17.09382616,11.62330189,11.66,3.2,37.312,8.85,2.21,19.5585,729.9716094,Staminode,Gypsum,Non_perennial,0.201179231,-0.359050406
MENPER,12.38036567,330.2281208,67.91977345,10.02509222,149.5415117,17.29070687,1808.218263,776.0451657,21.21532826,7.681906232,16.09,2.78,44.7302,14.83,2.18,32.3294,1444.345452,Staminode,Gypsum,Perennial,0.198432788,0.090750567
MENPOL,17.16031368,160.9807005,24.12775423,3.365588232,45.19902209,14.79143368,1002.705802,852.8556236,8.726682846,20.28215594,10.15,3.05,30.9575,7.72,1.77,13.6644,422.7572798,Stamen,Non_gypsum,Perennial,0.077597619,-0.638012988
MENPRO,12.84983996,313.6738321,62.61234952,8.811601881,135.6756597,17.56326096,1630.613788,783.1707441,21.72025335,9.304308368,14.43,4.7,67.821,12.74,3.16,40.2584,2733.03082,Staminode,Non_gypsum,Non_perennial,0.189234385,0.219079081
MENPTE,14.3182543,219.561261,30.03234527,7.050992137,53.62362706,16.3637456,1163.455564,915.3628809,13.35053565,13.43321329,12.03,3.89,46.7967,10.46,2.47,25.8362,1209.141669,Staminode,Non_gypsum,Non_perennial,0.138762256,-0.140164358
MENPUB,20.76919964,139.4931499,21.86317225,1.852959082,37.25303298,14.67393255,401.4678066,800.1827451,19.50261231,24.07862841,9.26,3.59,33.2434,7.48,2,14.96,497.9096212,Stamen,Non_gypsum,Perennial,0.043685439,-0.572507912
MENPUM,5.852797185,256.672402,40.41987454,10.51308386,77.98288417,15.75299996,1743.396038,962.929652,10.76732603,-5.609779181,9.02,2.61,23.5422,8.03,1.66,13.3298,314.0068594,Staminode,Non_gypsum,Non_perennial,0.175329857,-0.632826936
MENREV,18.24600219,562.3076188,88.4472953,20.09289622,189.0868455,14.34861612,406.9199953,703.0289034,24.06215744,9.879199511,16.28,5.43,88.4004,15.61,4.88,76.1768,6731.99266,Staminode,Non_gypsum,Non_perennial,0.313315168,0.872832395
MENRHI,6.98978575,386.9680216,41.79185027,22.5477368,98.65536126,16.52374248,2062.110242,900.5171105,10.93542166,-3.915158109,13.52,7.96,107.6192,8.24,3.7,30.488,3275.242855,Stamen,Non_gypsum,Perennial,0.286285595,-0.225641246
MENRUS,6.947784939,430.4708346,64.28986232,17.72406908,148.6164889,16.5238884,2242.505799,802.4605287,14.92347193,3.996318858,16.97,4.48,76.0256,14.34,2.47,35.4198,2689.445564,Stamen,Non_gypsum,Non_perennial,0.331084797,0.04911479
MENSAX,17.86377396,293.10589,61.14453488,4.967959267,140.5899175,17.11856516,1233.539694,648.7005833,24.65550345,13.22080937,11.67,3.36,39.2112,10.12,2.12,21.4544,840.4949758,Staminode,Non_gypsum,Non_perennial,0.139025633,-0.283338328
MENSHU,11.70869341,262.2770311,31.09714928,11.32871684,60.82831607,16.42898108,1495.740378,997.5064852,18.85166693,13.2554529,13.13,5.67,74.4471,9.47,4.4,41.668,3104.144266,Stamen,Non_gypsum,Perennial,0.119266628,0.226039559
MENSIN,5.905309114,388.1856726,54.75389495,14.15008764,137.490379,15.32169347,2125.491024,814.0293116,13.33344489,-3.483029429,17.83,5.38,95.9254,15.9,3.78,60.102,5774.231629,Staminode,Non_gypsum,Non_perennial,0.253494091,0.537741467
MENSIV,10.68866739,281.997013,38.2862981,10.70835744,78.08273298,16.55698685,1787.528477,907.3496607,17.63653996,14.79743907,11.31,4.59,51.9129,8.46,3.27,27.6642,1436.240895,Staminode,Non_gypsum,Non_perennial,0.148548103,-0.095195084
MENSPE,6.041833341,423.1886481,62.36185947,15.37947885,153.6846873,16.0103567,2201.226499,797.647267,14.02453688,-3.110710584,21.42,6.42,137.5164,19.62,4.46,87.5052,12030.13551,Staminode,Non_gypsum,Non_perennial,0.34763325,0.784264467
MENSPR,10.74369866,353.6187675,63.28225799,15.75962776,144.080406,16.76855361,1911.851924,848.0992553,20.63962152,1.035243748,11.72,3.79,44.4188,10.12,2.65,26.818,1191.818704,Staminode,Non_gypsum,Perennial,0.227851458,-0.09467431
MENTIE,10.37645253,232.3702193,24.77106927,13.1079082,60.2100855,18.23215496,1583.418126,854.273843,20.61986164,1.854084436,8,3,24,7,2,14,336,Stamen,Gypsum,Perennial,0.100657115,-0.594809928
MENTOD,11.10475693,316.7438372,56.8504077,15.09457743,124.7230981,17.923845,1863.144322,845.8205651,21.04231251,2.822949501,16.97,3.68,62.4496,15.68,2.9,45.472,2831.146097,Staminode,Gypsum,Perennial,0.169595625,0.378204248
MENUIN,7.920933352,300.7673732,33.41716851,16.84557591,80.11351682,16.5248509,1853.037761,985.0243866,12.86191276,-4.220950591,11.36,5.42,61.5712,7.41,4.38,32.4558,1997.395609,Stamen,Non_gypsum,Perennial,0.173107714,0.02236315
